prob_bin,prob_min,prob_max,prob_mean,bottom_rate,room_to_forecast_min_mean,rel_to_forecast_mean_mean,forecast_expected_return_mean,count
1,0.0025559111849356,0.0999726157011245,0.06730588203988397,0.0,-0.00282610351709394,-2.4068067675699748e-05,2.432085976200408e-05,600
2,0.1000766928772775,0.1999263589200283,0.1516641330389963,0.0,-0.0028567893618602243,-3.184836198603299e-06,3.4453525587183302e-06,1141
3,0.2000071005672864,0.2955938633652734,0.23370476119471448,0.0,-0.0028905552312568864,-2.062880725338943e-05,2.091099172018151e-05,581
7,0.6098235781147241,0.6962681704952056,0.6649701373256661,1.0,-0.002864647133898903,4.432555781376874e-05,-4.4029715633786545e-05,40
8,0.7006533741912807,0.7960463702429477,0.7516374211489877,1.0,-0.003090334973819771,2.946295031124271e-05,-2.9212295764665293e-05,90
9,0.8007344172797193,0.8850624348267636,0.829993325789722,1.0,-0.0029781849593515006,-5.338120457667284e-05,5.363757211260487e-05,48
